pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
TGF_beta_Receptor,NetPath,24,TGFB2;TGFB3;TGFBR2;TGFBR3;ANAPC10;ARRB2;MAP4K1;FOSB;PRKAR1B;PRKAR2A;SIK1;WWTR1;ATF3;CAV1;PJA1;BCAR1;RUNX1;RUNX3;HNF4A;SDC2;MEF2C;SMAD3;SMAD6;VDR,173 (173),0.462,0.955,0,,0 (0),1,1,0.462,0.955
Prolactin,NetPath,10,PAK1;SOCS2;FLNA;ERBB2;VAV1;PRLR;RPS6KA2;SIRPA;NFKBIA;THRB,70 (70),0.467,0.961,0,,0 (0),1,1,0.467,0.961
KitReceptor,NetPath,10,DOK1;KIT;MAPK12;SPRED2;MSN;INPP5D;WAS;ABL1;FGR;GRAP,70 (70),0.467,0.961,0,,0 (0),1,1,0.467,0.961
Activation of gene expression by SREBF (SREBP),Reactome,4,IDI1;TM7SF2;SC5D;GPAM,26 (26),0.468,0.961,0,,0 (0),1,1,0.468,0.961
Exercise-induced Circadian Regulation,Wikipathways,7,UGP2;GFRA1;CLDN5;G0S2;UCP3;IDI1;NCOA4,48 (48),0.468,0.961,0,,0 (0),1,1,0.468,0.961
Rett syndrome causing genes,Wikipathways,7,GABBR2;SMARCA2;GABRA3;SHANK3;MEF2C;KCNJ10;STXBP1,48 (48),0.468,0.961,0,,0 (0),1,1,0.468,0.961
Nephrotic syndrome,Wikipathways,7,WT1;COL4A4;LAMB2;ITGB4;PODXL;CTLA4;ITGA3,48 (48),0.468,0.961,0,,0 (0),1,1,0.468,0.961
Rheumatoid arthritis - Homo sapiens (human),KEGG,17,IL1B;TEK;ITGAL;IL11;CXCL5;CXCL2;ITGB2;CCL2;TGFB2;LTB;TGFB3;CTLA4;CXCL3;TNFRSF11A;ATP6V0E2;TLR4;ANGPT1,92 (93),0.104,0.424,0,,3 (3),1,1,0.339,0.962
Glucose metabolism,Reactome,17,PKLR;ALDOA;PKM;ALDOB;PGAM2;ENO3;SLC37A4;PCK1;GOT1;GOT2;PFKFB1;PFKFB2;NUP35;PFKFB4;POM121;NDC1;SLC25A13,92 (93),0.104,0.424,0,,32 (39),1,1,0.339,0.962
GPCR signaling-G alpha s Epac and ERK,INOH,44,VEGFC;TGFB2;FGF1;IL11;FZD9;LIF;BMP2;BMP5;BMP6;INHBE;ADCY4;EREG;RGS19;FZD8;PDGFB;ADORA1;BMP10;DLL4;INHBC;RAPGEF3;HBEGF;ADORA2B;FGF21;WNT7B;WNT11;TGFB3;HGF;NGF;FZD4;FGF2;GNAI1;GNB5;WNT9B;NRG4;IL1B;GDF2;GDF10;GNGT2;ADCY2;RGS3;RAPGEF4;RGS10;ADCY9;KNG1,272 (272),0.105,0.429,0,,4 (4),1,1,0.341,0.969
IL12-mediated signaling events,PID,9,IL1B;HLX;IL2RB;LCK;CCR5;RELB;GZMB;CD3D;CD8A,63 (63),0.474,0.972,0,,0 (0),1,1,0.474,0.972
Common Pathways Underlying Drug Addiction,Wikipathways,6,ACTG1;ACTG2;CAMK2A;GJB1;GNAI1;PPP1R1A,41 (41),0.477,0.976,0,,0 (0),1,1,0.477,0.976
Gastrin,NetPath,6,KIT;PRKD2;ANXA2;PRKCQ;NFKBIA;BCAR1,41 (41),0.477,0.976,0,,0 (0),1,1,0.477,0.976
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway,Wikipathways,6,TRIM63;CCL2;RELB;NFKBIA;CHUK;MMP9,41 (41),0.477,0.976,0,,0 (0),1,1,0.477,0.976
Apoptosis Modulation by HSP70,Wikipathways,3,AIFM1;MAP3K1;HSPA1A,19 (19),0.478,0.976,0,,0 (0),1,1,0.478,0.976
akt signaling pathway,BioCarta,3,NFKBIA;GHR;CHUK,19 (19),0.478,0.976,0,,0 (0),1,1,0.478,0.976
FGF,INOH,13,SPI1;ETS2;FGF1;FGF2;FLI1;ETV5;SPRY1;FGF21;FGFR1;PLCG2;ELK3;SFN;ERG,67 (67),0.106,0.434,0,,4 (5),1,1,0.345,0.977
Triglyceride biosynthesis,Reactome,4,DGAT2;AGMO;GK;GPAM,14 (14),0.107,0.434,0,,13 (18),1,1,0.346,0.977
Gap junction trafficking and regulation,Reactome,4,GJB1;GJB2;MYO6;GJA1,14 (14),0.107,0.434,0,,2 (3),1,1,0.346,0.977
Adenylate cyclase inhibitory pathway,Reactome,4,ADCY4;GNAI1;ADCY9;ADCY2,14 (14),0.107,0.434,0,,4 (4),1,1,0.346,0.977
Digestion of dietary lipid,Reactome,0,,7 (7),1,1,1,HMDB0000036,14 (17),0.107,1,0.347,0.977
MTHFR deficiency,Wikipathways,0,,10 (10),1,1,1,HMDB0013461,14 (21),0.107,1,0.347,0.977
Caffeine Metabolism,SMPDB,1,CYP2E1,7 (7),0.635,1,1,HMDB0001860,23 (24),0.17,1,0.349,0.977
Synthesis of 5-eicosatetraenoic acids,Reactome,3,ALOX5;PON1;PON3,9 (9),0.108,0.436,0,,13 (17),1,1,0.349,0.977
Vitamin D (calciferol) metabolism,Reactome,3,CYP2R1;VDR;GC,9 (9),0.108,0.436,0,,8 (9),1,1,0.349,0.977
Transport of nucleotide sugars,Reactome,3,SLC35B4;SLC35D1;SLC35A3,9 (9),0.108,0.436,0,,13 (13),1,1,0.349,0.977
Conjugation of carboxylic acids,Reactome,3,GLYAT;ACSM5;ACSM1,9 (9),0.108,0.436,0,,12 (16),1,1,0.349,0.977
Amino Acid conjugation,Reactome,3,GLYAT;ACSM5;ACSM1,9 (9),0.108,0.436,0,,12 (16),1,1,0.349,0.977
Chylomicron assembly,Reactome,3,APOA4;APOB;MTTP,9 (9),0.108,0.436,0,,3 (4),1,1,0.349,0.977
Sperm Motility And Taxes,Reactome,3,HVCN1;CATSPER2;CATSPERD,9 (9),0.108,0.436,0,,4 (4),1,1,0.349,0.977
C20 prostanoid biosynthesis,HumanCyc,3,PTGES;PTGIS;PTGS2,9 (9),0.108,0.436,0,,8 (8),1,1,0.349,0.977
Folate-Alcohol and Cancer Pathway Hypotheses,Wikipathways,3,ALDH1L1;CYP2E1;CBS,9 (9),0.108,0.436,0,,11 (12),1,1,0.349,0.977
Steroid hormone biosynthesis - Homo sapiens (human),KEGG,12,UGT1A1;CYP2E1;CYP1A1;HSD17B12;CYP1B1;CYP7A1;CYP17A1;UGT1A5;HSD17B7;UGT2A3;SRD5A1;AKR1D1,61 (61),0.109,0.437,0,,87 (99),1,1,0.35,0.979
Digestion and absorption,Reactome,4,PIR;SLC2A2;SLC5A1;MGAM,26 (26),0.468,0.961,1,HMDB0000036,33 (45),0.235,1,0.353,0.985
TCR signaling in na&#xef;ve CD8+ T cells,PID,11,LAT;IKBKG;VAV1;PRF1;CARD11;CD3D;PRKCQ;GRAP2;CHUK;LCK;CD8A,55 (55),0.111,0.445,0,,4 (4),1,1,0.355,0.986
Regulation of lipolysis in adipocytes - Homo sapiens (human),KEGG,11,ADCY9;ADORA1;ADCY2;PTGS2;NPR1;GNAI1;ADCY4;PDE3B;FABP4;ADRB2;MGLL,55 (57),0.111,0.445,0,,12 (14),1,1,0.355,0.986
Allograft Rejection,Wikipathways,17,IL1B;CXCL13;PDGFRA;VIM;COL5A1;BHMT2;C3;PRF1;CD55;PECR;CTLA4;C6;GZMB;C8A;C8B;C7;C9,93 (93),0.112,0.446,0,,4 (10),1,1,0.357,0.986
HS-GAG biosynthesis,Reactome,7,HS3ST3A1;HS3ST1;SDC3;HSPG2;SDC1;SDC2;GPC3,31 (31),0.112,0.446,0,,9 (9),1,1,0.357,0.986
Nectin adhesion pathway,PID,7,PDGFB;PTPRM;PDGFRB;CLDN1;PVR;IQGAP1;FARP2,31 (31),0.112,0.446,0,,2 (2),1,1,0.357,0.986
Folate metabolism,INOH,7,PKLR;PKM;SHMT1;MTHFD1;AMT;DHFR;ALDH1L1,31 (31),0.112,0.446,0,,43 (46),1,1,0.357,0.986
PI3K/AKT Signaling in Cancer,Reactome,19,CD19;PDGFB;PDGFRA;NRG4;FGF1;KIT;LCK;HGF;PDGFRB;HBEGF;ERBB2;VAV1;FGFR1;EREG;GAB2;CHUK;NR4A1;FGF2;KLB,106 (106),0.112,0.446,0,,5 (21),1,1,0.358,0.986
EPH-Ephrin signaling,Reactome,14,EPHB2;EPHB4;EPHA4;PAK3;ARHGEF7;ACTG1;PAK1;SDC2;LIMK1;ASB15;EPHA3;ARHGEF28;EFNB2;EPHA7,74 (74),0.113,0.446,0,,8 (10),1,1,0.36,0.986
Synthesis of PA,Reactome,8,GPD1;ACP6;GPAT4;GPAM;LPCAT4;GPAT3;LCLAT1;DDHD2,37 (37),0.113,0.446,0,,17 (27),1,1,0.36,0.986
Purine Nucleoside Phosphorylase Deficiency,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Xanthine Dehydrogenase Deficiency (Xanthinuria),SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Adenylosuccinate Lyase Deficiency,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
AICA-Ribosiduria,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Adenine phosphoribosyltransferase deficiency (APRT),SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Mitochondrial DNA depletion syndrome,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Myoadenylate deaminase deficiency,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Purine Metabolism,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Molybdenum Cofactor Deficiency,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Adenosine Deaminase Deficiency,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Gout or Kelley-Seegmiller Syndrome,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Lesch-Nyhan Syndrome (LNS),SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Xanthinuria type I,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Xanthinuria type II,SMPDB,8,ADA;GUCY1B1;AK1;AMPD1;PAICS;PDE4D;ENTPD5;PDE10A,37 (37),0.113,0.446,0,,70 (73),1,1,0.36,0.986
Wnt signaling pathway and pluripotency,Wikipathways,14,FZD4;FZD8;FZD9;MMP7;CSNK1E;PRKCH;CTBP2;PRKCQ;WNT7B;ESRRB;WNT11;PPARD;WNT9B;FOSL1,101 (101),0.491,0.989,0,,0 (1),1,1,0.491,0.989
Unwinding of DNA,Reactome,2,MCM3;MCM4,12 (12),0.492,0.989,0,,0 (1),1,1,0.492,0.989
Caspase-mediated cleavage of cytoskeletal proteins,Reactome,2,GSN;VIM,12 (12),0.492,0.989,0,,0 (0),1,1,0.492,0.989
tnfr2 signaling pathway,BioCarta,2,NFKBIA;MAP3K1,12 (12),0.492,0.989,0,,0 (0),1,1,0.492,0.989
pyrimidine deoxyribonucleosides salvage,HumanCyc,1,CDA,5 (5),0.513,0.995,1,HMDB0000273,31 (31),0.223,1,0.362,0.989
Diseases of signal transduction by growth factor receptors and second messengers,Reactome,44,HGF;KSR1;KLB;ERBB2;KANK1;ARRB1;ARRB2;VWF;CAMK2A;FN1;CD19;PDGFB;PDGFRA;NRG4;PDGFRB;NR4A1;HBEGF;BAG4;RBPJ;ESRP1;MAMLD1;MAML1;FGA;FGB;GAB2;FGF1;FGF2;NOX4;KDR;BIN2;FGFR1;FGG;LCK;CNKSR1;ADAM10;KIT;DLL4;HDAC7;VAV1;NEURL1B;APBB1IP;IQGAP1;CHUK;EREG,274 (274),0.114,0.449,0,,18 (71),1,1,0.362,0.989
Interleukin receptor SHC signaling,Reactome,4,IL2RB;INPP5D;IL3RA;GAB2,27 (27),0.499,0.995,0,,0 (0),1,1,0.499,0.995
FGFR2 alternative splicing,Reactome,4,POLR2D;ESRP2;ESRP1;POLR2A,27 (27),0.499,0.995,0,,0 (1),1,1,0.499,0.995
Neurexins and neuroligins,Reactome,8,EPB41L3;STXBP1;EPB41L5;SYT1;SHANK3;EPB41L1;DLG4;BEGAIN,57 (57),0.503,0.995,0,,0 (0),1,1,0.503,0.995
Interleukin-1 processing,Reactome,1,IL1B,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Sulindac Metabolic Pathway,Wikipathways,1,CYP1B1,5 (5),0.513,0.995,0,,0 (2),1,1,0.513,0.995
SARS-CoV-2 altering angiogenesis via NRP1,Wikipathways,1,KDR,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
GRB7 events in ERBB2 signaling,Reactome,1,ERBB2,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
MET interacts with TNS proteins,Reactome,1,HGF,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Interleukin-37 signaling,Reactome,1,SMAD3,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Negative regulation of TCF-dependent signaling by DVL-interacting proteins,Reactome,1,CCDC88C,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
MET activates PTPN11,Reactome,1,HGF,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Physiological factors,Reactome,1,NPR1,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Activation of NOXA and translocation to mitochondria,Reactome,1,PMAIP1,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Aurora C signaling,PID,1,INCENP,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Class IB PI3K non-lipid kinase events,PID,1,PDE3B,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
FLT3 signaling through SRC family kinases,Reactome,1,LCK,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
WNT5A-dependent internalization of FZD2_ FZD5 and ROR2,Reactome,1,ROR2,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
ifn gamma signaling pathway,BioCarta,1,IFNGR1,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
hiv-1 defeats host-mediated resistance by cem15,BioCarta,1,CXCR4,5 (5),0.513,0.995,0,,0 (0),1,1,0.513,0.995
acetylation and deacetylation of rela in nucleus,BioCarta,1,NFKBIA,5 (5),0.513,0.995,0,,0 (1),1,1,0.513,0.995
Cross-presentation of soluble exogenous antigens (endosomes),Reactome,1,MRC2,5 (5),0.513,0.995,0,,0 (1),1,1,0.513,0.995
Interactions between immune cells and microRNAs in tumor microenvironment,Wikipathways,7,TGFB2;TGFB3;TGFBR2;CCL2;IL2RB;CTLA4;TLR4,50 (50),0.513,0.995,0,,0 (1),1,1,0.513,0.995
Inflammatory bowel disease - Homo sapiens (human),KEGG,9,IL1B;TGFB2;IFNGR1;TGFB3;IL21R;SMAD3;TLR4;TLR5;MAF,65 (65),0.513,0.995,0,,0 (0),1,1,0.513,0.995
Receptor-type tyrosine-protein phosphatases,Reactome,3,PTPRF;PPFIA2;PTPRD,20 (20),0.514,0.995,0,,0 (0),1,1,0.514,0.995
Regulation of cytoplasmic and nuclear SMAD2/3 signaling,PID,3,SMAD3;CTDSPL;MAP3K1,20 (20),0.514,0.995,0,,0 (0),1,1,0.514,0.995
TP53 network,Wikipathways,3,ABL1;BCL2;PMAIP1,20 (20),0.514,0.995,0,,0 (0),1,1,0.514,0.995
Signaling by VEGF,Reactome,18,MAPK11;VEGFC;PAK1;PAK3;NRP2;CDH5;NOS3;KDR;NCF2;VAV1;WASF2;FLT4;SH2D2A;CAV1;WASF3;BCAR1;ITPR3;SHC2,100 (100),0.116,0.456,0,,25 (26),1,1,0.366,0.999
PI5P_ PP2A and IER3 Regulate PI3K/AKT Signaling,Reactome,18,CD19;PDGFB;PDGFRA;NRG4;FGF1;KIT;HGF;PDGFRB;HBEGF;ERBB2;VAV1;FGFR1;EREG;GAB2;PIP4K2A;LCK;FGF2;KLB,100 (100),0.116,0.456,0,,7 (12),1,1,0.366,0.999
Phosphatidylcholine catabolism,Wikipathways,0,,0 (0),1,1,2,HMDB0010404;HMDB0013461,6 (9),0.000907,1,0.000907,1
Oligodendrocyte specification and differentiation_ leading to myelin components for CNS,Wikipathways,0,,0 (0),1,1,1,HMDB0013461,8 (11),0.0627,1,0.0627,1
Pyrimidine metabolism and related diseases,Wikipathways,0,,0 (0),1,1,1,HMDB0000273,14 (37),0.107,1,0.107,1
Biomarkers for pyrimidine metabolism disorders,Wikipathways,0,,0 (0),1,1,1,HMDB0000273,15 (34),0.114,1,0.114,1
Urea cycle and metabolism of amino groups,Wikipathways,0,,0 (0),1,1,1,HMDB0000128,28 (32),0.203,1,0.203,1
Fc-epsilon receptor I signaling in mast cells,PID,12,LAT;FCGR2B;PLPP1;DOK1;NFATC2;GAB2;VAV1;INPP5D;MAP3K1;DUSP1;CHUK;IKBKG,62 (62),0.119,0.465,0,,6 (8),1,1,0.373,1
One carbon pool by folate - Homo sapiens (human),KEGG,5,ALDH1L1;MTHFD1;AMT;SHMT1;DHFR,20 (20),0.12,0.465,0,,9 (9),1,1,0.373,1
Cellular hexose transport,Reactome,5,SLC2A2;SLC5A1;SLC2A4;SLC2A9;SLC2A10,20 (20),0.12,0.465,0,,4 (7),1,1,0.373,1
S1P1 pathway,PID,5,PDGFRB;GNAI1;PDGFB;KDR;PTGS2,20 (20),0.12,0.465,0,,4 (4),1,1,0.373,1
Aminosugars metabolism,INOH,5,PFKFB2;PFKFB4;GNE;PGM3;PFKFB1,20 (20),0.12,0.465,0,,30 (32),1,1,0.373,1
Aflatoxin activation and detoxification,Reactome,5,DPEP1;MGST1;GGT1;GGT7;GGT6,20 (20),0.12,0.465,0,,13 (25),1,1,0.373,1
D-<i>myo</i>-inositol-5-phosphate metabolism,HumanCyc,5,PLCG2;PIP4K2A;PLCD3;PLCB4;PLCD1,20 (20),0.12,0.465,0,,7 (8),1,1,0.373,1
Thromboxane A2 receptor signaling,PID,11,BLK;MAPK11;LCK;PTGIR;NOS3;PRKCH;PRKCQ;GNB5;ARRB2;GNG2;FGR,56 (56),0.122,0.475,0,,12 (12),1,1,0.379,1
GPCR signaling-G alpha i,INOH,42,VEGFC;TGFB2;FGF1;IL11;FZD9;LIF;BMP2;BMP5;BMP6;INHBE;ADCY4;EREG;RGS19;FZD8;PDGFB;ADORA1;BMP10;DLL4;INHBC;HBEGF;ADORA2B;FGF21;WNT7B;WNT11;TGFB3;HGF;NGF;FZD4;FGF2;GNAI1;GNB5;WNT9B;NRG4;IL1B;GDF2;GDF10;GNGT2;ADCY2;RGS3;RGS10;ADCY9;KNG1,262 (262),0.123,0.476,0,,2 (2),1,1,0.38,1
GPCR signaling-pertussis toxin,INOH,42,VEGFC;TGFB2;FGF1;IL11;FZD9;LIF;BMP2;BMP5;BMP6;INHBE;ADCY4;EREG;RGS19;FZD8;PDGFB;ADORA1;BMP10;DLL4;INHBC;HBEGF;ADORA2B;FGF21;WNT7B;WNT11;TGFB3;HGF;NGF;FZD4;FGF2;GNAI1;GNB5;WNT9B;NRG4;IL1B;GDF2;GDF10;GNGT2;ADCY2;RGS3;RGS10;ADCY9;KNG1,262 (262),0.123,0.476,0,,2 (2),1,1,0.38,1
16p11.2 proximal deletion syndrome,Wikipathways,6,ALDOA;SPN;CORO1A;QPRT;PPP4R4;MSN,79 (79),0.963,1,1,HMDB0010404,17 (40),0.129,1,0.383,1
GPCR Dopamine D1like receptor,INOH,10,PRKAR1B;CACNA1C;CACNA1D;GNGT2;CACNA1S;CACNA2D1;CACNB1;PRKAR2A;CACNG1;GNB5,50 (50),0.125,0.482,0,,4 (4),1,1,0.384,1
A tetrasaccharide linker sequence is required for GAG synthesis,Reactome,6,SDC3;HSPG2;SDC1;SDC2;VCAN;GPC3,26 (26),0.125,0.482,0,,5 (6),1,1,0.386,1
Vitamin A (retinol) metabolism,EHMN,6,UGT1A1;CYP1A1;ATP8B2;UGT1A5;CYP26A1;CYP26B1,26 (26),0.125,0.482,0,,23 (28),1,1,0.386,1
Vitamin B9 (folate) metabolism,EHMN,6,SLC25A4;SHMT1;SLC25A22;MTHFD1;AMT;SLC25A13,26 (26),0.125,0.482,0,,31 (35),1,1,0.386,1
Endogenous TLR signaling,PID,6,HSPD1;TLR4;IKBKG;VCAN;TLR1;CHUK,26 (26),0.125,0.482,0,,2 (2),1,1,0.386,1
Metal ion SLC transporters,Reactome,6,SLC11A1;CP;SLC39A5;HEPH;SLC30A10;SLC41A1,26 (26),0.125,0.482,0,,6 (8),1,1,0.386,1
Platelet calcium homeostasis,Reactome,6,P2RX7;P2RX6;ATP2A3;ATP2A1;ATP2B4;ITPR3,26 (26),0.125,0.482,0,,6 (7),1,1,0.386,1
Galactose metabolism,EHMN,9,B4GALT2;SLC2A10;MGAM;SLC35B4;SLC2A2;SLC35A3;SLC2A4;SLC5A1;SLC2A9,44 (44),0.127,0.485,0,,43 (47),1,1,0.388,1
Ion homeostasis,Reactome,9,DMPK;FXYD6;ATP2A1;ATP2A3;ATP2B4;RYR1;TRDN;ATP1A2;ITPR3,44 (44),0.127,0.485,0,,10 (11),1,1,0.388,1
nfat and hypertrophy of the heart ,BioCarta,9,GATA4;ATP2A1;LIF;ATP2A3;HBEGF;MEF2C;MYL2;ACTA1;CAMKK1,44 (44),0.127,0.485,0,,3 (5),1,1,0.388,1
Oncogenic MAPK signaling,Reactome,13,FGA;FGB;IQGAP1;KSR1;ESRP1;CNKSR1;APBB1IP;ARRB1;ARRB2;VWF;CAMK2A;FGG;FN1,69 (69),0.127,0.485,0,,8 (17),1,1,0.389,1
Adipocytokine signaling pathway - Homo sapiens (human),KEGG,13,CHUK;ACSL1;IKBKG;PCK1;CPT1C;ADIPOR2;PRKCQ;PRKAG2;NFKBIA;PPARA;PRKAA2;CPT1A;SLC2A4,69 (69),0.127,0.485,0,,3 (7),1,1,0.389,1
16p11.2 distal deletion syndrome,Wikipathways,7,LAT;CD19;CR2;NFATC2;ATP2A1;C3;KDR,32 (32),0.128,0.486,0,,3 (4),1,1,0.39,1
Retrograde endocannabinoid signaling - Homo sapiens (human),KEGG,25,GABRB3;DAGLB;CACNA1C;GABRP;CACNA1S;ADCY4;MAPK12;CACNA1D;GNB5;GNG2;ABHD6;SLC17A8;MGLL;GNAI1;PLCB4;MAPK11;MAPK13;GNG11;GNGT2;DAGLA;ADCY2;PTGS2;ADCY9;GABRA3;ITPR3,148 (148),0.13,0.486,0,,17 (19),1,1,0.396,1
Phytochemical activity on NRF2 transcriptional activation,Wikipathways,4,NQO1;EPHB2;GCLM;MAF,15 (15),0.131,0.486,0,,2 (3),1,1,0.397,1
GPR40 Pathway,Wikipathways,4,PLCG2;PLCD3;PLCD1;ITPR3,15 (15),0.131,0.486,0,,3 (3),1,1,0.397,1
Biopterin metabolism,EHMN,4,SLC38A4;SLC16A10;SLC7A1;SLC43A2,15 (15),0.131,0.486,0,,23 (24),1,1,0.397,1
ERBB2 Regulates Cell Motility,Reactome,4,NRG4;ERBB2;EREG;HBEGF,15 (15),0.131,0.486,0,,1 (1),1,1,0.397,1
D-<i>myo</i>-inositol (1_3_4)-trisphosphate biosynthesis,HumanCyc,4,INPP5D;ITPKA;SYNJ2;ITPKC,15 (15),0.131,0.486,0,,8 (8),1,1,0.397,1
Phase 2 - plateau phase,Reactome,4,KCNE3;KCNQ1;CACNB1;CACNA1C,15 (15),0.131,0.486,0,,2 (2),1,1,0.397,1
Mercaptopurine Metabolism Pathway,SMPDB,4,SLC28A2;ADK;TPMT;ABCC4,15 (15),0.131,0.486,0,,21 (24),1,1,0.397,1
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian),HumanCyc,4,INPP5D;ITPKA;SYNJ2;ITPKC,15 (15),0.131,0.486,0,,11 (11),1,1,0.397,1
Pyrimidine nucleotides nucleosides metabolism,INOH,8,ABAT;DPYD;DPYS;CDA;UPB1;CPS1;AK3;ENTPD5,51 (51),0.375,0.868,1,HMDB0000273,53 (56),0.351,1,0.399,1
Cell death signalling via NRAGE_ NRIF and NADE,Reactome,14,FGD2;OBSCN;NGF;NGFR;FGD1;BEX3;PREX1;ARHGEF2;VAV1;ARHGEF6;FGD3;ARHGEF17;ARHGEF7;MCF2L,76 (76),0.133,0.486,0,,4 (4),1,1,0.402,1
Transport of inorganic cations/anions and amino acids/oligopeptides,Reactome,18,SLC7A6;SLC1A3;SLC7A8;SLC17A8;SLC43A2;SLC17A1;SLC1A1;SLC1A2;SLC6A12;SLC26A1;SLC1A5;SLC7A1;SLC38A4;SLC25A22;SLC17A5;SLC15A2;SLC4A4;SLC16A10,102 (102),0.133,0.486,0,,46 (55),1,1,0.402,1
Metabolism of Dichloroethylene by CYP450,Wikipathways,1,CYP2E1,1 (1),0.134,0.486,0,,9 (10),1,1,0.403,1
Acrylamide Biotransformation and Exposure Biomarkers,Wikipathways,1,CYP2E1,1 (1),0.134,0.486,0,,3 (4),1,1,0.403,1
sulfite oxidation,HumanCyc,1,SUOX,1 (1),0.134,0.486,0,,4 (5),1,1,0.403,1
Conversion of Angiotensinogen to Angiotensin II,Wikipathways,1,ACE,1 (1),0.134,0.486,0,,2 (3),1,1,0.403,1
Riboflavin and CoQ disorders,Wikipathways,1,ETFDH,1 (1),0.134,0.486,0,,19 (26),1,1,0.403,1
Oleoyl-phe metabolism,Reactome,1,PM20D1,1 (1),0.134,0.486,0,,2 (4),1,1,0.403,1
adenine and adenosine salvage II,HumanCyc,1,ADK,1 (1),0.134,0.486,0,,5 (5),1,1,0.403,1
NADPH regeneration,Reactome,1,IDH1,1 (1),0.134,0.486,0,,7 (8),1,1,0.403,1
Signaling by kinase domain mutants of KIT,Reactome,1,KIT,1 (1),0.134,0.486,0,,2 (2),1,1,0.403,1
Signaling by juxtamembrane domain KIT mutants,Reactome,1,KIT,1 (1),0.134,0.486,0,,2 (2),1,1,0.403,1
Signaling by extracellular domain mutants of KIT,Reactome,1,KIT,1 (1),0.134,0.486,0,,2 (2),1,1,0.403,1
Synthesis of Hepoxilins (HX) and Trioxilins (TrX),Reactome,1,ALOX12,1 (1),0.134,0.486,0,,7 (10),1,1,0.403,1
glutamine biosynthesis,HumanCyc,1,GLUL,1 (1),0.134,0.486,0,,7 (7),1,1,0.403,1
